23.01.2019 23:54:04;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES;epoch
24.01.2019 03:09:04;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2400.0;3210.0;380.69767441860466;389.71223021582733;1.9021329987452948;-5060.0;268;32
24.01.2019 03:14:04;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;870.0;322.3636363636364;260.5263157894737;4.0588235294117645;18540.0;298;33
24.01.2019 03:14:54;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2380.0;2590.0;339.1111111111111;291.6666666666667;1.8993055555555556;1540.0;384;33
24.01.2019 03:19:57;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;950.0;318.578431372549;207.30769230769232;0.8181818181818182;32650.0;360;34
24.01.2019 03:20:46;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2460.0;3210.0;420.40983606557376;324.93975903614455;8.569060773480663;-2650.0;288;34
24.01.2019 03:25:46;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;880.0;346.38418079096044;226.99115044247787;1.8333333333333333;35660.0;290;35
24.01.2019 03:26:36;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2400.0;2590.0;321.9337016574586;290.2830188679245;7.205263157894737;-3270.0;393;35
24.01.2019 03:31:38;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;760.0;311.8556701030928;197.36526946107784;1.7777777777777777;27540.0;361;36
24.01.2019 03:32:28;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2400.0;2590.0;331.22093023255815;290.7281553398058;0;-2920.0;378;36
24.01.2019 03:37:29;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;1610.0;305.24038461538464;233.47826086956522;2.2777777777777777;25900.0;369;37
24.01.2019 03:38:21;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3360.0;2520.0;320.45197740112997;288.7628865979381;8.77659574468085;700.0;371;37
24.01.2019 03:43:21;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;1120.0;313.14159292035396;202.21428571428572;3.4545454545454546;42460.0;366;38
24.01.2019 03:44:11;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3360.0;1690.0;343.2599118942731;268.298755186722;11.882352941176471;13260.0;468;38
24.01.2019 03:49:14;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;880.0;295.2132701421801;224.1614906832298;1.1851851851851851;26200.0;372;39
24.01.2019 03:50:03;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3190.0;1390.0;335.53846153846155;269.1353383458647;9.032051282051283;-6160.0;461;39
